site,pubs,hits,weighted_score,pre-2010,2010-2014,2015-2019,2020-2026,lat,lon,feature_type,files
Los Molles,7,18,10.73,1,1,0,1,-30.23607,-70.99648,H.SPNG,At1Sim1_012_Contreras et al_Depósitos volcánicos-piroclásticos Cordillera de Domeyko|At1St1_005_Sánchez et al_Evolución FPC Chos Malal|At1St2_009_Rojas et al_Deformación Cenozoico Tardío C de la Costa|At5St14_012_Rivas et al_Morfogrupos de la Formación Los Molles   revisor|openalex_andean_geology_2008_10.5027_andgeov35n2-a05|openalex_andean_geology_2012_10.5027_andgeov39n3-a06
Lagunillas,10,12,10.0,0,0,0,0,-34.64312,-71.94118,T.HLL,Acta_II_Simposio_Geoparques_Geoturismo_Chile_2014_final|At1Sim1_007_Coloma et al_Rocas intrusivas y volcánicas del Triásico + obs CM|At1Sim1_008_González et al_Petrografía y geoquímica del Triásico Superior + obs CM|At1Sim1_010_Oliveros et al_Lithospheric loss in the Andean margin during the Triassic|At1St1_037_Rossel et al_Geomorphological evolution Huasco Valley|At1St1_058_Palape et al_Formación Las Placetas + obs CM
San Jorge,7,33,9.5,0,0,1,1,-27.55,-70.16667,T.MT,At1St1_010_Gianni et al_Orogénesis Patagonia Central|At1St3_009_Morgado et al_Sistemas volcánicos cercanos|At1St3_010_McGee et al_Villarrica volcano|At1St3_025_Vinet et al_Intracrystalline deformation of olivine|At4Sim8_004_Ramos_150 años de historia Universidad de Buenos Aires|openalex_andean_geology_2019_10.5027_andgeov46n3-3212
Cerro Blanco,9,14,9.39,0,0,0,1,-32.01803,-71.3445,T.MT,Primer simposio geopatrimonio|Acta_II_Simposio_Geoparques_Geoturismo_Chile_2014_final|At1St1_026_Contreras et al_Evolución estructural Mesozoica C de la Costa|At1St3_014_Ferrada et al_Intrusivos hipabisales Cajón de Los Valles|At1St4_029_Ramiréz et al_Estratigrafía y litofacies|At2St5_050_Toro et al_Pórfidos Paleocenos
Dorotea,6,22,9.37,2,0,1,0,-25.10724,-70.44585,H.SPNG,At1St4_019_Fosdick et al_Foreland sedimentation|At5Sim10_008_Otero_Registro fósil Farro Carranza|At5St14_009_Manríquez et al_Depósitos del Valle del río Las Chinas|openalex_andean_geology_2009_10.4067_s0718-71062009000200008|openalex_andean_geology_2009_10.5027_andgeov36n2-a08|openalex_andean_geology_2015_10.5027_andgeov42n2-a05
El Guanaco,8,59,9.08,0,1,0,0,-33.78513,-71.08862,T.HLL,Primer simposio geopatrimonio|At1St1_020_Jovic et al_Estructura depósito Guanaco|At1St1_050_Mardonez et al_Geología Cerro Islote|At1St3_022_Páez et al_Distrito El Guanaco|At2St5_015_Permuy et al_Depósito epitermal El Guanaco|At2St5_017_Galina et al_Mina El Guanaco
Lomas Bayas,9,43,9.0,0,0,0,0,-23.42567,-69.56865,T.MTS,Primer simposio geopatrimonio|At1St1_020_Jovic et al_Estructura depósito Guanaco|At2Sim11_008_Sanchez et al_Cordillera de Domeyko|At2St5_004_Vega et al_Eventos geológicos yacimiento Fortuna de Cobre|At2St5_030_Rojas et al_Sulfates Fortuna del Cobre mine|At2St5_031_Rojas et al_Conditions of formation sulfates
Cerro El Plomo,9,10,9.0,0,0,0,0,-26.0638,-69.34228,T.MT,Acta_II_Simposio_Geoparques_Geoturismo_Chile_2014_final|At1St1_024_Gomila et al. 2015 - XIV CGCH - Drones|At2Sim3_002_Veloso et al_Depósito Dominga (Fe-Cu) v.2|At2Sim3_014_Vivanco y González_Yacimiento Dominga|At2Sim4_024_Muñoz et al_Why is geothermal energy not competitive|At2Sim4_025_Giavelli et al_Last Geothermal Exploration Cycle in Chile
Isla Teja,9,9,9.0,0,0,0,0,-39.80616,-73.25907,T.ISL,GGN18_Abstract_Book_final|Actas III Simposio geoparques y geoturismo Chile|At1St1_054_Plissart et al_Accretionary prism mechanisms|At1St2_006_Araya et al_Registro paleosismológico + obs CM|At1St3_030_Anselmo et al_Minerales de Ti|At1St3_031_Quitral et al_Cuerpo serpentinítico Bahía Murta
Aguas Calientes,7,14,8.94,0,1,0,0,-23.92512,-67.66215,H.SPNG,Acta_II_Simposio_Geoparques_Geoturismo_Chile_2014_final|At2Sim4_001_Peralta et al_Hidrogeoquímica sistemas geotermales Jujuy|At2Sim4_026_Aguilera et al_Definición de ambientes termales a nivel regional|At2Sim4_027_Aguilera et al_Ambientes geotermales Región de Los Ríos|At2St5_008_Tardani et al_Metal fluxing Liquiñe Ofqui|At4Sim5_008_Solari_Geobiologycal heritage
Cerro Azul,5,18,8.89,0,0,0,2,-48.51539,-73.16991,T.MT,"At1St3_068_Bosch et al_Tephrochronology of Mendoza Province|At2Sim4_022_Benavente et al_Cold springs and thermal fluids|At5St14_013_Ceolin et al_Ostrácodos y nanofósiles calcáreos, Neuquen|openalex_andean_geology_2020_10.5027_andgeov47n2-3270|openalex_andean_geology_2023_10.5027_andgeov50n1-3459"
Bandurrias,8,19,8.79,0,1,0,0,-34.54697,-71.09342,T.MT,At2Sim3_013_Daroch et al_Depósito Santo Domingo|At2St5_037_Creixell et al_Pórfidos Cretácicos|At2St6_004_García y Aravena_Prospeccion electrica en Coyhaique|At2St8_005_Aravena et al_Sedimentos cuenca Coyhaique|At4Sim5_016_Martinez et al_Patrimonio Geológico Chileno|At4St11_014_Farías et al_Remociones en masa escarpe costero
San Ignacio,6,18,8.7,0,1,0,1,-34.36233,-71.68546,T.HLL,At1St1_002_Heredia et al_Evolución Geodinámica Paleozoico Andes Centrales|At1St1_058_Palape et al_Formación Las Placetas + obs CM|At1St3_018_Matos_Oriente de Bolivia|At2St5_027_Moncada y Bodnar_Guanajuato mining district|openalex_andean_geology_2013_10.5027_andgeov40n1-a08|openalex_andean_geology_2020_10.5027_andgeov47n2-3214
Aguada,5,18,8.05,2,0,0,0,-34.02175,-71.78657,T.HLL,At1St1_041_Gonzalez et al_Estructuras en Sierras de Varas y Sierra Argomedo|At1St4_028_Centellas et al_Sierra de Varas|At2St5_048_Prieto y Vivallo_Distritos Vaca Muerta e Illapel|openalex_andean_geology_2009_10.4067_s0718-71062009000100004|openalex_andean_geology_2009_10.5027_andgeov36n1-a03
Salitre,8,25,8.0,0,0,0,0,-25.05704,-70.48316,H.SPNG,"At1Sim1_004_Espinoza et al_Late Triassic Early Jurrasic basins + obs CM|At1Sim1_010_Oliveros et al_Lithospheric loss in the Andean margin during the Triassic|At1Sim1_011_Oliveros et al_Unidades del Triásico superior, norte de Chile + obs CM|At1Sim1_014_Alfaro et al_Formación Cerro Guanaco|At1St3_076_Ramírez et al_Tiempo de residencia magmática|At4Sim5_007_Solari et al_Unidades volca ́nicas del Triásico Medio"
Nevados de Chillán,8,17,8.0,0,0,0,0,-36.82886,-71.40993,T.MTS,GGN18_Abstract_Book_final|Acta_II_Simposio_Geoparques_Geoturismo_Chile_2014_final|Actas III Simposio geoparques y geoturismo Chile|At1St3_068_Bosch et al_Tephrochronology of Mendoza Province|At2Sim4_018_Vicencio et al_Formación Curamallín|At2St5_008_Tardani et al_Metal fluxing Liquiñe Ofqui
Lagunas,8,15,8.0,0,0,0,0,-33.81336,-71.78128,T.HLL,Primer simposio geopatrimonio|Actas III Simposio geoparques y geoturismo Chile|At1Sim1_006_Vásquez et al_Volcanismo andesítico C de la Costa|At3Sim13_001_Maldonado et al_Palinología Norte Chico|At4Sim5_008_Solari_Geobiologycal heritage|At4Sim5_009_Urresty et al_Geodiversidad y Geopatrimonio
El Cajón,8,13,8.0,0,0,0,0,-34.2,-71.7,T.HLL,Actas III Simposio geoparques y geoturismo Chile|At1Sim1_007_Coloma et al_Rocas intrusivas y volcánicas del Triásico + obs CM|At1St3_056_Hurtado et al_Hoyas del Lontué y Upeo|At4Sim6_007_Pavez et al_Club de las Rocas|At4Sim8_007_Polanco et al_Trágica muertes que marcan la historia de la geología en Chile|At4St11_034_Bertin y Amigo_Volcán San Pedro
Santa Rosa,8,9,8.0,0,0,0,0,-34.36725,-71.91508,T.HLL,Primer simposio geopatrimonio|At4Sim5_017_Torres et al_Monumento Natural Pichasca|At4St12_010_Cejas et al_Cuenca de Ctalamochita|At4St12_018_Cejas et al_Cuenca del Ctalamochita|At5Sim9_002_Torres et al_Nuevos registros de Araucariáceas y Podocarpáceas|At5Sim9_003_Israel et al_Formación Cerro Negro
Sierra Gorda,8,9,8.0,0,0,0,0,-22.80429,-69.32683,T.MTS,At1St1_020_Jovic et al_Estructura depósito Guanaco|At1St1_047_Espinoza et al_Sierra de Santa Ana|At2St5_030_Rojas et al_Sulfates Fortuna del Cobre mine|At2St5_050_Toro et al_Pórfidos Paleocenos|At2St5_057_Cabello_Exploración Cuprífera en Chile|At2St7_001_ Campos et al_Caracterización Rajo Fortuna de Cobre
Chica,7,18,7.95,0,1,0,0,-26.63781,-69.5493,H.SPNG,"At1Sim1_004_Espinoza et al_Late Triassic Early Jurrasic basins + obs CM|At1Sim1_009_Montecino et al_Cuenca El Profeta + obs CM|At1Sim1_010_Oliveros et al_Lithospheric loss in the Andean margin during the Triassic|At1Sim1_011_Oliveros et al_Unidades del Triásico superior, norte de Chile + obs CM|At1St1_026_Contreras et al_Evolución estructural Mesozoica C de la Costa|At5Sim10_003_Soto-Acuña et al_Cocodrilos marinos en Formación Cerritos Bayos"
Loros,7,12,7.95,0,0,1,0,-33.8345,-71.79428,T.HLL,Primer simposio geopatrimonio|At1St1_042_Ochoa et al_Análisis Estructural Cuenca de Chañarcillo|At1St4_010_Salazar et al_Andean marginal basin|At2St5_006_Osorio et al_India Coya|At3Sim12_005_Fuentes et al_Evento meteorológico Marzo 2015|At4Sim8_006_Peña_El valle del Río Copiapó
Cerro Guanaco,7,33,7.0,0,0,0,0,-37.70556,-73.22691,T.MT,"At1Sim1_004_Espinoza et al_Late Triassic Early Jurrasic basins + obs CM|At1Sim1_005_González et al_Magmatismo Paleozoico Superior - Triásico|At1Sim1_010_Oliveros et al_Lithospheric loss in the Andean margin during the Triassic|At1Sim1_011_Oliveros et al_Unidades del Triásico superior, norte de Chile + obs CM|At1Sim1_012_Contreras et al_Depósitos volcánicos-piroclásticos Cordillera de Domeyko|At1Sim1_014_Alfaro et al_Formación Cerro Guanaco"
La Obra,7,15,7.0,0,0,0,0,-33.68333,-71.06667,T.HLL,"Primer simposio geopatrimonio|At2St5_024_Villalobos y Reich_Oxibarometría de intrusivos graníticos|At2St5_046_Varas et al_Rare occurrence of betekhtinite|At4Sim6_004_Otero et al_Geología, antropología y arte|At4Sim6_006_Espinoza et al_Petrología Urbana|At4Sim7_003_Polanco y Aliaga_Espino Cabernet Sauvignon"
La Higuera,5,6,6.2,0,1,0,0,-34.1109,-71.43344,T.HLL,Primer simposio geopatrimonio|At2Sim3_007_Díaz y Corvalán_Mina Panulcillo|At2St5_037_Creixell et al_Pórfidos Cretácicos|At5St14_016_Partarrieu et al_Yacimiento paleontológico Lomas del Sauce|openalex_andean_geology_2010_10.5027_andgeov12n2-3-a03
Cachinal,5,23,6.08,0,1,0,0,-25.14381,-69.55718,H.SPNG,At1St1_020_Jovic et al_Estructura depósito Guanaco|At1St1_050_Mardonez et al_Geología Cerro Islote|At1St3_022_Páez et al_Distrito El Guanaco|At2St6_012_Gamboa et al_Hidrogeología Depresión Central|openalex_andean_geology_2011_10.5027_andgeov15n1-a05
Bosques,6,21,6.0,0,0,0,0,-32.38333,-71.28333,T.PK,Primer simposio geopatrimonio|Actas III Simposio geoparques y geoturismo Chile|At4Sim8_003_Zentilli_Reconocimiento geológico Aysen|At4St11_036_Winocur et al_Movimiento de remoción en masa|At5St14_004_Villafaña y Rivadeneira_Migración de condrictios Neógenos|At5St14_017_Palma y Duhart_Macro y microflorivia
Carrizal,6,9,6.0,0,0,0,0,-33.99746,-71.79131,T.HLL,At1Sim1_010_Oliveros et al_Lithospheric loss in the Andean margin during the Triassic|At1St1_042_Ochoa et al_Análisis Estructural Cuenca de Chañarcillo|At1St1_049_Fuentes et al_Melange de Chañaral + obs CM|At2Sim3_002_Veloso et al_Depósito Dominga (Fe-Cu) v.2|At2Sim3_010_Marquardt et al_Mineralization in the Vallenar district|At2St5_006_Osorio et al_India Coya
El Viento,6,6,6.0,0,0,0,0,-34.51667,-71.1,T.MT,At1Sim1_005_González et al_Magmatismo Paleozoico Superior - Triásico|At1St4_004_Bracco et al_Estratigrafía Formación Cuculí|At3Sim12_002_Garrido et al_Aluviones 03-2015|At4St11_010_Silva et al_Peligros comp lejo volcánico San José|At4St11_023_Opazo_Remociones en el masa acceso a Iquique|At4St11_051_Geoffroy et al_Volcán Melimoyu
Julia,5,15,5.1,0,0,0,1,-26.85748,-69.96281,H.SPNG,Primer simposio geopatrimonio|At1St1_046_López et al_Deformación compresiva post-incaica + obs CM|At2St5_057_Cabello_Exploración Cuprífera en Chile|At2St7_005_Martínez et al_Hyperspectral logging|openalex_andean_geology_2023_10.5027_andgeov50n1-3403
Sierra Nevada,5,11,5.1,0,0,0,1,-38.59434,-71.63469,T.MTS,Primer simposio geopatrimonio|At1St1_062_McPhillips et al_Alpine Wedge|At1St3_023_Payacan et al_Xenoliths distribution in magma reservoirs|At4St13_005_Basso et al_Remoción en masa Cerro La Virgen|openalex_quaternary_sci_rev_2025_10.1016_j.quascirev.2025.109458
Altos de Pica,5,18,5.0,0,0,0,0,-20.38885,-68.98332,T.MTS,At1St1_021_Selles et al_Carta geológica área Pampa Lirima-Cancosa|At1St2_026_Bascur et al_Falla de Pisagua|At1St3_079_Gardeweg et al_Ignimbritas Tambillo y Huasco|At2St6_008_Taucare et al_Camiña aquifer|At4St12_009_Cifuentes et al_Isótopos Estables
Sierra Áspera,5,13,5.0,0,0,0,0,-26.26331,-70.20326,T.MTS,At1St1_041_Gonzalez et al_Estructuras en Sierras de Varas y Sierra Argomedo|At1St1_050_Mardonez et al_Geología Cerro Islote|At1St4_028_Centellas et al_Sierra de Varas|At2Sim3_006_Loyola et al_Depósito IOCG Diego de Almagro|At5St14_006_Magnata et al_Flora fósil del Triásico Superior
Lago Ranco,5,12,5.0,0,0,0,0,-40.23763,-72.39903,H.LK,At1St1_063_Guzmán et al_Sistema de Fallas Liquiñe-Ofqui|At1St3_041_Muñoz y Stern_Geochemistry of pumice|At1St3_045_Castro et al_Erupción Volcán Mirador 1979|At1St3_066_Quezada et al_Devonian calc-alkaline magmatism|At4St13_002_Garrido et al_Microzonificación del peligro Caunahue
Zambrano,5,6,5.0,0,0,0,0,-33.85905,-71.12343,T.MT,Actas III Simposio geoparques y geoturismo Chile|At1St1_012_Díaz et al_Quebrada Las Burras|At4St11_004_Paez et al_Avalancha de detritos volcan Lastarria|At5Sim10_008_Otero_Registro fósil Farro Carranza|At5St14_001_Salazar y Stinnesbeck_Ammonite Baños del Flaco
Sierra Exploradora,5,6,5.0,0,0,0,0,-25.85891,-69.24781,T.MTS,"At1Sim1_004_Espinoza et al_Late Triassic Early Jurrasic basins + obs CM|At1Sim1_011_Oliveros et al_Unidades del Triásico superior, norte de Chile + obs CM|At1St1_041_Gonzalez et al_Estructuras en Sierras de Varas y Sierra Argomedo|At1St1_047_Espinoza et al_Sierra de Santa Ana|At4Sim5_007_Solari et al_Unidades volca ́nicas del Triásico Medio"
Bahía Blanca,5,6,5.0,0,0,0,0,-54.54874,-69.1631,H.BAY,At1St1_005_Sánchez et al_Evolución FPC Chos Malal|At1St4_017_Naipauer et al_Formación Vaca Muerta|At2Sim2_008_D´Annunzio et al_Gualcamayo|At2St5_014_D_Annunzio et al_Quebrada del Diablo deposit|At5St14_012_Rivas et al_Morfogrupos de la Formación Los Molles   revisor
